date,symbol,value
2025-03-22,API3-USDT,42.7
2025-03-22,ZETA-USDT,32.93
2025-03-22,BEAM-USDT,20.04
2025-03-22,BB-USDT,19.42
2025-03-22,UMA-USDT,17.94
2025-03-22,FARTCOIN-USDT,17.09
2025-03-22,CYBER-USDT,13.53
2025-03-22,IMX-USDT,13.18
2025-03-22,ALCH-USDT,12.33
2025-03-22,PONKE-USDT,11.68
